Project,Page,NF
Lower Billy Creek Campground and Billy Creek Picnic Site Rehabilitation Project,https://www.fs.usda.gov/project/?project=40497,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Marijuana Cultivation Site Cleanup,https://www.fs.usda.gov/project/?project=38182,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Mile High Roadside Hazard Salvage Project,https://www.fs.usda.gov/project/?project=45294,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Mollie Clayton Cabin Removal Project,https://www.fs.usda.gov/project/?project=43012,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Motorized Travel Management Part 2,https://www.fs.usda.gov/project/?project=39788,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Mountain Yellow-legged frog research Special Use Permit on the Inyo and Sierra National Forests,https://www.fs.usda.gov/project/?project=51828,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Nelder Grove Hazardous Fuels Reduction Project,http://www.fs.usda.gov/sierra/,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Nelder Grove New Toilet Installation,https://www.fs.usda.gov/project/?project=47600,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
NEON Flux Tower at Lower Teakettle,http://www.neoninc.org,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
NEON Flux Tower at Soaproot Saddle,http://www.neoninc.org,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
NEON Research Activities at Providence Creek,http://www.neoninc.org,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
North Fork Pole Barn Decommissioning,https://www.fs.usda.gov/project/?project=37933,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Nutmeg Plantation Fire Hazard Removal,https://www.fs.usda.gov/project/?project=47031,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
PG&E Hall Mtn. Comm Site Upgrades,https://www.fs.usda.gov/project/?project=38361,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
PG&E Indian Flat Substation Expansion Project,https://www.fs.usda.gov/project/?project=48765,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
PG&E Pesticide Use at FERC Facilities,https://www.fs.usda.gov/project/?project=34327,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
"Placer Guard Station Hazardous Fuels Reduction, Historic Preservation & Conifer Encroachment Removal",https://www.fs.usda.gov/project/?project=36185,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone - High Sierra Ranger Station New Service,https://www.fs.usda.gov/project/?project=45290,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone - Verizon Service at Huntington Condos,https://www.fs.usda.gov/project/?project=45288,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Auberry Road Fiber Optic Cable Placement,https://www.fs.usda.gov/project/?project=35094,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Beasore Meadows Fiber Optic Project,https://www.fs.usda.gov/project/?project=47420,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Blue Canyon Work Center Buried Cable,https://www.fs.usda.gov/project/?project=40651,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Cabinet at Dowville,https://www.fs.usda.gov/project/?project=41433,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Cabinet at Huckleberry,https://www.fs.usda.gov/project/?project=41455,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Central Camp,https://www.fs.usda.gov/project/?project=41893,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Co. conduit space lease and new fiber optic cable to Goat Mountain,https://www.fs.usda.gov/project/?project=47216,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Company Corrine Lake,https://www.fs.usda.gov/project/?project=41892,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Company Goat Mountain,https://www.fs.usda.gov/project/?project=41890,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Douglas Station Cable Replacement,https://www.fs.usda.gov/project/?project=48128,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Fiber Optic Cable from Marina View to Bass Lake Annex,https://www.fs.usda.gov/project/?project=46837,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Master Permit,https://www.fs.usda.gov/project/?project=41611,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Musick to Big Creek Fiber,https://www.fs.usda.gov/project/?project=35159,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone New Cable at Sunset Point,https://www.fs.usda.gov/project/?project=36990,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone New Electronic Cabinet at Camp Sierra,https://www.fs.usda.gov/project/?project=46363,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone New Service Cable Along FS Road 10S87,https://www.fs.usda.gov/project/?project=49530,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone New Service to Camp Sierra Lot 16,https://www.fs.usda.gov/project/?project=46258,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone New Service to Camp Sierra Lot 41,https://www.fs.usda.gov/project/?project=45332,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Peterson Mill Cable Placement,https://www.fs.usda.gov/project/?project=35161,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Shaver Dam to Musick Fiber Optic,https://www.fs.usda.gov/project/?project=35157,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Three New Cabinets,https://www.fs.usda.gov/project/?project=35163,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Three New Service Cables,https://www.fs.usda.gov/project/?project=49529,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Ponderosa Telephone Tollhouse Grade Cable Replacement,https://www.fs.usda.gov/project/?project=35160,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Rancheria Campground Rehabilitation,https://www.fs.usda.gov/project/?project=30943,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Rancheria Enterprises New Rentals,https://www.fs.usda.gov/project/?project=48951,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Reach 8 of the San Joaquin River Trail,https://www.fs.usda.gov/project/?project=34632,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Red Mountain OHV Parking Area,https://www.fs.usda.gov/project/?project=41554,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Red Mountain OHV Restoration,https://www.fs.usda.gov/project/?project=50999,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Reissue Special Use Permit to Lakeshore Resort,https://www.fs.usda.gov/project/?project=46908,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Renewal of Mono Hot Springs Term Special Use Permit,https://www.fs.usda.gov/project/?project=34102,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
SCE 45 Deteriorated Pole Replacements,https://www.fs.usda.gov/project/?project=45280,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
SCE BC3 MEER Building,https://www.fs.usda.gov/project/?project=43822,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
SCE Big Creek ALP Mammoth Pool Howell-Bunger Valve and Fishwater Turbine Generator Replacement SUA,https://www.fs.usda.gov/project/?project=36475,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
SCE Big Creek Life Extension Project,https://www.fs.usda.gov/project/?project=35312,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
SCE China Peak 12kV Project,https://www.fs.usda.gov/project/?project=45282,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
SCE Fiber Optic Shaver to BC2,https://www.fs.usda.gov/project/?project=34097,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
SCE Mono Diversion Helispot,https://www.fs.usda.gov/project/?project=34095,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Shaver Wishon Project,https://www.fs.usda.gov/project/?project=48817,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra National Forest OSV Grooming Program,https://www.fs.usda.gov/project/?project=39925,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra Nevada Forests Management Indicator Species (SNF MIS) Amendment,http://www.fs.fed.us/r5/snfmisa,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra NF Motorized Travel Management EIS,https://www.fs.usda.gov/project/?project=21753,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra Tel Business Systems communications use lease,https://www.fs.usda.gov/project/?project=46155,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra Telephone Bass Lake Fiber Project,https://www.fs.usda.gov/project/?project=47556,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra Telephone Company Fiber Optic Cable Installation to Emerald Cove Camp,https://www.fs.usda.gov/project/?project=47163,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra Telephone Company Inc. telephone line replacement at the Forest Service Jerseydale Workcenter,https://www.fs.usda.gov/project/?project=47297,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra Telephone Jerseydale 2 Telephone Cable Replacement,https://www.fs.usda.gov/project/?project=48961,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra Telephone Master Permit,https://www.fs.usda.gov/project/?project=41570,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra Telephone Skylake Yosemite Camp Cable Replacement,https://www.fs.usda.gov/project/?project=49524,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra Telephone Teaford Meadows Fiber Optic Project,https://www.fs.usda.gov/project/?project=47557,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sierra Telephone Westfall Station Carrier Site and Fiber Optic Cable,https://www.fs.usda.gov/project/?project=47422,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Snowy Patterson Plantation Maintenance Project,https://www.fs.usda.gov/project/?project=33670,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Soaproot Restoration Project,https://www.fs.usda.gov/project/?project=34379,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Soquel Ditch Bridge Replacement,https://www.fs.usda.gov/project/?project=43409,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Source/Kinsman Project,https://www.fs.usda.gov/project/?project=33474,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Southern California Edison Mammoth Pool Communications Site Permit Renewal/Propane Tank Installation,https://www.fs.usda.gov/project/?project=41550,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Special Use Permit Renewal CA Dept Fish & Game,https://www.fs.usda.gov/project/?project=33742,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Special Use Permit renewal SCE Water Lines,https://www.fs.usda.gov/project/?project=33740,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Special Use Permit Renewals for Six Domestic Water Systems,https://www.fs.usda.gov/project/?project=33712,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Special Use Permit(s) Issuance for Concessionaire Operated Facilities,https://www.fs.usda.gov/project/?project=3929,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Spring Creek Tract Well,https://www.fs.usda.gov/project/?project=46259,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
State and County Road hazard Abatement Project,https://www.fs.usda.gov/project/?project=48875,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sugar Pine Adaptive Management Project,https://www.fs.usda.gov/project/?project=18708,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sweetwater Mine 2012 Plan of Operation Project,https://www.fs.usda.gov/project/?project=38493,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Sweetwater Mine Restoration Project,https://www.fs.usda.gov/project/?project=21752,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Term Extensions 2012 - Special Use Permits,https://www.fs.usda.gov/project/?project=36653,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Term Extensions District Ranger Authority,https://www.fs.usda.gov/project/?project=45293,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Term Extensions Forest Supervisor Authority,https://www.fs.usda.gov/project/?project=45292,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Trapper Springs to Courtright Lake Trail,https://www.fs.usda.gov/project/?project=35168,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Travel Management Decision to Include Eight Additional Routes into SNF NFTS,https://www.fs.usda.gov/project/?project=34103,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
UC Merced New Repeater,https://www.fs.usda.gov/project/?project=45291,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Upgrade of Telecommunication Lines at Jack L Boyd Organization Camp,https://www.fs.usda.gov/project/?project=46843,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Upper Billy Creek Campground Rehabilitation Project,https://www.fs.usda.gov/project/?project=44075,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
West Fork Cow Creek Road Obliteration Project-NFSR 9S402,https://www.fs.usda.gov/project/?project=33675,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Whisky Ridge Ecological Restoration Project,https://www.fs.usda.gov/project/?project=37829,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Willow Creek General Recreation Access Trail Project,https://www.fs.usda.gov/project/?project=34096,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Willow Creek Watershed Restoration Planning Project,https://www.fs.usda.gov/project/?project=43928,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Wishon Quarry Stockpile Expansion,https://www.fs.usda.gov/project/?project=36835,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Wisseman Mine Restoration Project,https://www.fs.usda.gov/project/?project=47501,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Yosemite Outfitters Permit Issuance,https://www.fs.usda.gov/project/?project=46943,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Yosemite Sugar Pine Railroad Permit Reissue,https://www.fs.usda.gov/project/?project=19616,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
Zupko Access Road Gate,https://www.fs.usda.gov/project/?project=35107,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/sierra/landmanagement/projects?archive=1&sortby=1
2017 Waterman Project,https://www.fs.usda.gov/project/?project=51218,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Beaverslide Timber Sale and Fuel Treatment Project,https://www.fs.usda.gov/project/?project=26448,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Big Flat Vegetation and Fuel Management Project,https://www.fs.usda.gov/project/?project=20156,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Charter Communications Fiber Optic Line through SRNRA,https://www.fs.usda.gov/project/?project=36242,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Dobbyn Creek Sudden Oak Death,https://www.fs.usda.gov/project/?project=49187,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Emergency Relief for Federally Owned Roads (ERFO) Environmental Review Project,https://www.fs.usda.gov/project/?project=38358,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Forest Route 4 Storm Damage Repair,https://www.fs.usda.gov/project/?project=34990,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Forest-wide Road Maintenance (formerly Stormproofing of Forest Roads),https://www.fs.usda.gov/project/?project=41279,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
From Fire kill to Fuelbreaks Project,https://www.fs.usda.gov/project/?project=48578,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Gordon Hill Vegetation Management Project,https://www.fs.usda.gov/project/?project=32113,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Griffin Creek Culvert Replacement and County Road Paving,https://www.fs.usda.gov/project/?project=41248,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Kelsey Peak Timber Sale and Fuelbreak Project,https://www.fs.usda.gov/project/?project=30389,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Klamath River Outfitting and Guiding Permits,https://www.fs.usda.gov/project/?project=50814,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Little Jones Creek Pilot Project,https://www.fs.usda.gov/project/?project=51545,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Little Jones Riparian Project,https://www.fs.usda.gov/project/?project=44634,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Lower Trinity Plantation Thin and Timber Stand Improvement Project,https://www.fs.usda.gov/project/?project=32315,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Orleans Community Fuels Reduction and Forest Health Project,https://www.fs.usda.gov/project/?project=17533,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Orleans Watershed and Transportation Management Project,https://www.fs.usda.gov/project/?project=8524,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Private Lands Fuels Treatment Project,https://www.fs.usda.gov/project/?project=48270,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Ruth Wildfire Reforestation Project,https://www.fs.usda.gov/project/?project=43802,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Sims Fire Restoration - Roadside and Landline Fuels Reduction Project,https://www.fs.usda.gov/project/?project=47632,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Sims Fire Restoration - Thin and Release Plantations and Reforestation with Site Preparation,https://www.fs.usda.gov/project/?project=47661,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Six Rivers Road Maintenance,https://www.fs.usda.gov/project/?project=45323,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Smith River NRA Restoration and Motorized Travel Management,https://www.fs.usda.gov/project/?project=15173,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Smith River NRA Restoration and Motorized Travel Management,https://www.fs.usda.gov/project/?project=38813,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Station 3 Fuel Break,https://www.fs.usda.gov/project/?project=24831,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Waterman West Integrated Vegetation Management Project,https://www.fs.usda.gov/project/?project=30477,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/srnf/landmanagement/projects?archive=1&sortby=1
Arnold Rim Trail Cedar Center Connection Bikeway,https://www.fs.usda.gov/project/?project=37224,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Bailey Plantation Health Improvement,https://www.fs.usda.gov/project/?project=30017,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Baker Station Permit,https://www.fs.usda.gov/project/?project=47900,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Bat Roosts and Bridges Habitat Improvement,https://www.fs.usda.gov/project/?project=35655,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Bayer Apiary Special Use Permit,https://www.fs.usda.gov/project/?project=34683,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Bear Valley Mountain Resort Expansion,https://www.fs.usda.gov/project/?project=7910,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Bear Valley Timber Stand Improvement,https://www.fs.usda.gov/project/?project=32646,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Bee Hart KV Shred 2011,https://www.fs.usda.gov/project/?project=36603,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Berkeley Camp Permit,https://www.fs.usda.gov/project/?project=18441,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Big Creek Planting,https://www.fs.usda.gov/project/?project=50525,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Big Meadow Campground Enhancement,https://www.fs.usda.gov/project/?project=44315,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Bloods Ridge Timber Stand Improvement,https://www.fs.usda.gov/project/?project=30018,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
"Bluff, Bloomer Lake and Groundhog Meadow Restoration",https://www.fs.usda.gov/project/?project=41984,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Buchanan Mine Permit,https://www.fs.usda.gov/project/?project=42310,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Bunch Apiary Special Use Permit,https://www.fs.usda.gov/project/?project=34693,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
Calaveras Snow Trail Maintenance,https://www.fs.usda.gov/project/?project=40003,https://www.fs.usda.gov/wps/portal/fsinternet/cs/projects/stanislaus/landmanagement/projects?archive=1&sortby=1
